,0
symbol,FBNC
price,31.53
beta,1.17943
volAvg,270080
mktCap,902707070
lastDiv,0.72
range,17.32-41.34
changes,0.39
companyName,First Bancorp (North Carolina)
currency,USD
cik,0000811589
isin,US3189101062
cusip,318910106
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Banks Regional
website,
description,"First Bancorp operates as a bank holding company, which engages banking activities, with the acceptance of deposits and the making of loans. The company is headquartered in Troy, North Carolina and currently employs 1,054 full-time employees. The firm's principal activity is the ownership and operation of First Bank. The Bank engages in a range of banking activities, including the acceptance of deposits and the making of loans. The Bank offers credit cards, debit cards, letters of credit, safe deposit box rentals and electronic funds transfer services, including wire transfers. In addition, the Bank offers Internet banking, mobile banking, cash management and bank-by-phone capabilities to its customers. The company also offers a mobile check deposit feature for its mobile banking customers to deposit checks through their smartphone. The Bank offers remote deposit capture for its business customers. The firm provides loans for a range of consumer and commercial purposes, including loans for business, agriculture, real estate, personal uses, home improvement and automobiles."
ceo,Mr. Michael Mayer
sector,Financial Services
country,US
fullTimeEmployees,1065
phone,19102462500
address,"300 SW BROAD STREET, 341 N Main St"
city,Southern Pines
state,NORTH CAROLINA
zip,28387
dcfDiff,
dcf,31.4026
image,https://financialmodelingprep.com/image-stock/FBNC.jpg
ipoDate,1987-04-30
defaultImage,True
