,0
symbol,TPR
price,26.325
beta,1.41578
volAvg,6289613
mktCap,7302686700
lastDiv,0.676
range,10.18-30.4
changes,1.045
companyName,Tapestry Inc
currency,USD
cik,0001116132
isin,US8760301072
cusip,876030107
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Luxury Goods
website,https://www.tapestry.com/
description,"Tapestry, Inc. engages in the provision of luxury accessories and lifestyle brands. The company is headquartered in New York City, New York and currently employs 21,000 full-time employees. The firm's product offering uses a range of leathers, fabrics and materials. The Company’s brands include Coach, Kate Spade, and Stuart Weitzman. Its segments include North America, International and Stuart Weitzman. The North America segment includes sales of Tapestry brand products to North American customers through Tapestry-operated stores (including the Internet) and sales to North American wholesale customers. The International segment operates department store concession shop-in-shop locations and retail and outlet stores, as well as e-commerce Websites. The Stuart Weitzman segment includes sales across the world generated by the Stuart Weitzman brand, primarily through department stores in North America and international locations, and within Stuart Weitzman operated stores (including the Internet) in the United States, Canada and Europe."
ceo,Mr. Jide Zeitlin
sector,Consumer Cyclical
country,US
fullTimeEmployees,21000
phone,12129468400
address,10 Hudson Yards
city,New York City
state,NEW YORK
zip,10001
dcfDiff,
dcf,25.5995
image,https://financialmodelingprep.com/image-stock/TPR.jpg
ipoDate,2000-10-05
defaultImage,True
