,0
symbol,THCAU
price,11.32
beta,0.0
volAvg,423
mktCap,0
lastDiv,0.0
range,8.94-11.32
changes,0.635
companyName,Tuscan Holdings Corp. II
currency,USD
cik,
isin,
cusip,
exchange,NasdaqCM
exchangeShortName,NASDAQ
industry,Shell Companies
website,
description,
ceo,Mr. Stephen A. Vogel
sector,Financial Services
country,United States
fullTimeEmployees,
phone,646 948 7100
address,135 East 57th Street
city,New York
state,NY
zip,10022
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/THCAU.jpg
ipoDate,
defaultImage,True
