,0
symbol,IEA
price,11.24
beta,1.13931
volAvg,483126
mktCap,256151728
lastDiv,0.0
range,1.63-12.8
changes,0.93
companyName,Infrastructure and Energy Alternatives Inc
currency,USD
cik,0001652362
isin,US45686J1043
cusip,45686J104
exchange,NasdaqCM
exchangeShortName,NASDAQ
industry,Engineering & Construction
website,https://iea.net/
description,"Infrastructure & Energy Alternatives, Inc. engages in the provision of infrastructure solutions for the renewable energy, traditional power, and civil infrastructure industries throughout the United States. The company is headquartered in Indianapolis, Indiana and currently employs 2,250 full-time employees. The firm specializes in providing engineering, procurement and construction (EPC) services throughout the United States for the renewable energy, traditional power and civil infrastructure industries. The company operates through two segments: Renewables segment and the Heavy Civil and Industrial (Specialty Civil). Its services include the design, site development, construction, installation and restoration of infrastructure. Its Renewables segment operates throughout the United States and specializes in a range of services that include EPC project delivery, design, site development, construction, installation and restoration of infrastructure services for the wind and solar industries. The Specialty Civil segment operates throughout the United States and specializes in a range of services that include heavy civil construction services, environmental remediation services and rail Infrastructure services."
ceo,Mr. John Roehm
sector,Industrials
country,US
fullTimeEmployees,2650
phone,18006883775
address,6325 Digital Way Ste 460
city,Indianapolis
state,INDIANA
zip,46278
dcfDiff,
dcf,15.7676
image,https://financialmodelingprep.com/image-stock/IEA.png
ipoDate,2016-07-07
defaultImage,False
