,0
symbol,BCBP
price,10.13
beta,0.60149
volAvg,31075
mktCap,173032560
lastDiv,0.56
range,7.73-14.5
changes,-0.31
companyName,BCB Bancorp Inc
currency,USD
cik,0001228454
isin,US0552981039
cusip,055298103
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Banks Regional
website,https://www.bcb.bank/
description,"BCB Bancorp, Inc. is a holding company, which engages in the ownership and operation of BCB Community Bank. The company is headquartered in Bayonne, New Jersey and currently employs 365 full-time employees. The Bank is a community-oriented financial institution. Its business is to offer Federal Deposit Insurance Corporation (FDIC)-insured deposit products and to invest funds held in deposit accounts at the Bank, together with funds generated from operations, in loans and investment securities. The company offers loans, including commercial and multi-family real estate loans, one- to four-family mortgage loans, home equity loans, construction loans, consumer loans and commercial business loans; FDIC-insured deposit products, such as savings and club accounts, interest and non-interest bearing demand accounts, money market accounts, certificates of deposit and individual retirement accounts, and retail and commercial banking services, including wire transfers, money orders, safe deposit boxes, a night depository, debit cards, online banking, gift cards, fraud detection and automated teller services."
ceo,Mr. Thomas Coughlin
sector,Financial Services
country,US
fullTimeEmployees,365
phone,12018230700
address,104-110 AVENUE C
city,Bayonne
state,NEW JERSEY
zip,07002
dcfDiff,
dcf,10.2413
image,https://financialmodelingprep.com/image-stock/BCBP.png
ipoDate,2005-12-14
defaultImage,False
