,0
symbol,CFG
price,30.68
beta,1.8539
volAvg,5396467
mktCap,13102599200
lastDiv,1.56
range,14.12-41.29
changes,-1.0
companyName,Citizens Financial Group Inc
currency,USD
cik,0000759944
isin,US1746101054
cusip,174610105
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Banks Regional
website,http://www.citizensbank.com
description,"Citizens Financial Group, Inc. engages in the provision of commercial banking services. The company is headquartered in Providence, Rhode Island and currently employs 17,800 full-time employees. The firm operates through two segments: Consumer Banking and Commercial Banking. Its Consumer Banking serves retail customers and small businesses. Consumer Banking products and services include deposit products, mortgage and home equity lending, auto financing, student loans, personal unsecured lines and loans, credit cards, business loans, wealth management and investment services. The firm's Commercial Banking segment offers a range of financial products and solutions, including lending and leasing, deposit and treasury management services, foreign exchange and interest rate risk management solutions, as well as corporate finance, merger and acquisition, and debt and equity capital markets capabilities. The firm delivers a range of retail and commercial banking products and services to individuals, institutions and companies. The firm operates approximately 1,100 branches."
ceo,Mr. Bruce Van Saun
sector,Financial Services
country,US
fullTimeEmployees,18000
phone,14014567000
address,1 Citizens Plz Fl 3
city,Providence
state,RHODE ISLAND
zip,02903
dcfDiff,-43.12
dcf,30.1541
image,https://financialmodelingprep.com/image-stock/CFG.png
ipoDate,2014-09-24
defaultImage,False
