,0
symbol,APD
price,265.31
beta,0.84647
volAvg,953818
mktCap,58605388000
lastDiv,5.180000000000001
range,167.43-327.89
changes,-15.53
companyName,Air Products and Chemicals Inc
currency,USD
cik,0000002969
isin,US0091581068
cusip,009158106
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Chemicals
website,http://www.airproducts.com/
description,"Air Products & Chemicals, Inc. engages in the manufacture and distribution of atmospheric gases. The company is headquartered in Allentown, Pennsylvania and currently employs 17,440 full-time employees. The firm's Industrial Gases business provides atmospheric and process gases and related equipment to manufacturing markets, including refining and petrochemical, metals, electronics, and food and beverage. The firm is also a supplier of liquefied natural gas process technology and equipment. The firm operates through five segments: Industrial Gases-Americas, Industrial Gases-Europe, Middle East, and Africa (EMEA), Industrial Gases-Asia, Industrial Gases-Global, and Corporate and other."
ceo,Mr. Seifollah Ghasemi
sector,Basic Materials
country,US
fullTimeEmployees,17440
phone,16104814911
address,7201 Hamilton Blvd
city,Allentown
state,PENNSYLVANIA
zip,18195
dcfDiff,
dcf,303.408
image,https://financialmodelingprep.com/image-stock/APD.png
ipoDate,1961-11-13
defaultImage,False
