,0
symbol,SG
price,11.5
beta,0.0
volAvg,23500
mktCap,1325938560
lastDiv,0.0
range,5.06-12.0
changes,-0.02
companyName,Sirius International Insurance Group Ltd
currency,USD
cik,0001744894
isin,BMG8196D1011
cusip,G8196D101
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Insurance Property & Casualty
website,https://www.siriusgroup.com/
description,"Sirius International Insurance Group Ltd. provides insurance and reinsurance products and services. Its operating segments are Global Property, Global A&H, Specialty & Casualty and Runoff & Other. Global Property consists of its underwriting lines of business, which offers other property insurance and reinsurance, property catastrophe excess reinsurance and agriculture reinsurance. Global A&H consists of its Global A&H insurance and reinsurance underwriting unit along with two managing general underwriters (MGUs)(IMG and Armada). Specialty & Casualty consists of its insurance and reinsurance underwriting units, which offer specialty & casualty product lines. Runoff & Other consists of asbestos risks, environmental risks and other latent liability exposures. Its subsidiaries include Sirius Bermuda Insurance Company Ltd., Sirius International Insurance Corporation, Sirius America Insurance Company, Armada and Sirius Global Solutions Holding Company."
ceo,Mr. Kernan Victor Oberting
sector,Financial Services
country,BM
fullTimeEmployees,1076
phone,14412783140
address,"14 Wesley Street, 5th Floor"
city,Hamilton
state,
zip,HM 11
dcfDiff,
dcf,12.5221
image,https://financialmodelingprep.com/image-stock/SG.png
ipoDate,2018-11-06
defaultImage,False
