,0
symbol,NTG
price,17.48
beta,3.42276
volAvg,41920
mktCap,110488280
lastDiv,6.890000000000001
range,5.0-116.8
changes,0.47
companyName,Tortoise Midstream Energy Fund Inc
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,
description,"Tortoise Midstream Energy Fund Inc, formerly Tortoise MLP Fund, Inc. is a non-diversified, closed-end management investment company. The Fund's primary investment objective is to seek a high level of total return with an emphasis on current distributions. It invests primarily in master limited partnerships (MLPs) and their affiliates that own and operate a network of pipeline and energy-related logistical infrastructure assets. Under normal circumstances, it invests at least 80% of its total assets in equity securities of MLPs in energy infrastructure sector, with at least 50% of its total assets in equity securities of natural gas infrastructure MLPs. Its portfolio of investments includes natural gas/natural gas liquids pipelines, gathering and processing, crude oil pipelines, refined product pipelines, and oil and gas production. Tortoise Capital Advisors, L.L.C. serves as an investment advisor to the Fund."
ceo,Mr. P. Bradley Adams
sector,Financial Services
country,US
fullTimeEmployees,
phone,19139811020
address,5100 W. 115TH PLACE
city,Leawood
state,KANSAS
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/NTG.jpg
ipoDate,2010-07-28
defaultImage,True
