,0
symbol,AMAL
price,12.52
beta,0.0
volAvg,48220
mktCap,388739744
lastDiv,0.4
range,7.9-20.0
changes,-0.4
companyName,Amalgamated Bank
currency,USD
cik,
isin,
cusip,
exchange,NasdaqGM
exchangeShortName,NASDAQ
industry,Banks Regional
website,https://www.amalgamatedbank.com/
description,"Amalgamated Bank engages in the provision of financial services. The company is headquartered in New York City, New York and currently employs 421 full-time employees. The firm offers solutions in the areas of personal banking, small business, commercial banking and institutional investing. Its product line includes residential mortgage loans, commercial and industrial loans, commercial real estate loans, multifamily mortgages, and a variety of commercial and consumer deposit products, including non-interest bearing accounts, interest-bearing demand products, savings accounts, money market accounts and certificates of deposit. The company also offer online banking and bill payment services, online cash management, safe deposit box rentals, debit card and automated teller machine (ATM) card services. Its corporate divisions include Commercial Banking, Trust and Investment Management and Consumer Banking."
ceo,Mr. Keith Mestrich
sector,Financial Services
country,US
fullTimeEmployees,398
phone,12128954922
address,275 7th Ave
city,New York City
state,NEW YORK
zip,10001
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/AMAL.jpg
ipoDate,2018-06-06
defaultImage,True
