,0
symbol,MDGS
price,1.945
beta,1.184461
volAvg,4602030
mktCap,14762453
lastDiv,0.0
range,0.83-5.15
changes,-0.035
companyName,Medigus Ltd.
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Medical Devices
website,http://www.medigus.com
description,
ceo,Christopher Rowland
sector,Healthcare
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,-3.0
dcf,0.0
image,https://financialmodelingprep.com/image-stock/MDGS.jpg
ipoDate,
defaultImage,True
