,0
symbol,VTA
price,9.76
beta,0.73746
volAvg,278436
mktCap,614685760
lastDiv,0.8249999999999998
range,5.92-11.73
changes,0.03
companyName,Invesco Dynamic Credit Opportunities Fund
currency,USD
cik,
isin,US46132R1041
cusip,46132R104
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,
description,"Invesco Dynamic Credit Opportunities Fund is a diversified closed-end management investment company. The Fund's investment objective is to seek a high level of current income, with a secondary objective of capital appreciation. The Fund invests primarily in a portfolio of interests in floating or variable senior loans to corporations, partnerships and other entities, which operate in a range of industries and geographic regions. The Fund invests in various sectors, which include business equipment and services; electronics and electrical; retailers (except food and drug); telecommunications; utilities; food products; healthcare; leisure goods, activities and movies; lodging and casinos; oil and gas; containers and glass products; structured products; cable and satellite television, and financial intermediaries. It may invest in senior loans to borrowers that are organized or located in countries other than the United States. The Fund's investment advisor is Invesco Advisers, Inc."
ceo,Sheri Morris
sector,Financial Services
country,US
fullTimeEmployees,
phone,14044393217
address,1555 Peachtree St NE Ste 1800
city,Atlanta
state,GEORGIA
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/VTA.jpg
ipoDate,2007-06-27
defaultImage,True
