,0
symbol,ETSY
price,128.235
beta,1.63538
volAvg,4300169
mktCap,16169279500
lastDiv,0.0
range,29.95-154.88
changes,1.205
companyName,ETSY Inc
currency,USD
cik,0001370637
isin,US29786A1060
cusip,29786A106
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Internet Retail
website,https://www.etsy.com/
description,"Etsy, Inc. engages in the management of an online marketplace. The company is headquartered in Brooklyn, New York and currently employs 1,209 full-time employees. The firm offers a range of seller services and tools that help entrepreneurs start, grow and manage their businesses. The firm's community includes Etsy sellers, Etsy buyers, Etsy employees, its partners and investors. As of December 31, 2016, its platform connected 1.7 million active Etsy sellers and 28.6 million active Etsy buyers. Etsy sellers join its community to participate in its markets to express their creativity. Etsy sellers range from hobbyists to professional merchants, and have a range of personal and professional goals. Its supports a group of artists, makers, designers and collectors from around the world. Its services platform includes seller services, seller tools and education. The firm's seller services include Direct Checkout, Promoted Listings, Shipping Labels and Pattern by Etsy."
ceo,Mr. Josh Silverman
sector,Consumer Cyclical
country,US
fullTimeEmployees,1276
phone,17188557956
address,117 Adams St
city,Brooklyn
state,NEW YORK
zip,11201
dcfDiff,-22.81
dcf,136.536
image,https://financialmodelingprep.com/image-stock/ETSY.png
ipoDate,2015-04-16
defaultImage,False
