,0
symbol,PMBC
price,4.3
beta,0.62737
volAvg,40758
mktCap,101669632
lastDiv,0.0
range,2.95-8.3
changes,-0.08
companyName,Pacific Mercantile Bancorp
currency,USD
cik,0001109546
isin,US6945521002
cusip,694552100
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Banks Regional
website,http://investors.pmbank.com
description,"Pacific Mercantile Bancorp is a holding company of Pacific Mercantile Bank, which engages in the provision of banking services. The company is headquartered in Costa Mesa, California and currently employs 160 full-time employees. The firm's business operations are conducted by the Bank. The company operates through commercial banking segment. The Bank offers its customers different loan products, including commercial loans and credit lines, accounts receivable and inventory financing, Small Business Administration (SBA) guaranteed business loans, and owner-occupied commercial real estate loans. Its investments primarily include securities available for sale, which consist of residential mortgage backed securities issued by the United States agencies; residential collateralized mortgage obligations issued by non agencies; asset backed security and mutual funds. Its sources of funds include deposits, and borrowings and contractual obligations. Its deposits consist of noninterest bearing demand deposits, interest-bearing checking accounts, money market and savings deposits, and time deposits."
ceo,Mr. Bradford Dinsmore
sector,Financial Services
country,US
fullTimeEmployees,160
phone,17144382500
address,949 S Coast Dr Fl 3
city,Costa Mesa
state,CALIFORNIA
zip,92626
dcfDiff,-7.81
dcf,13.0453
image,https://financialmodelingprep.com/image-stock/PMBC.png
ipoDate,2000-06-14
defaultImage,False
