,0
symbol,SCPH
price,9.31
beta,0.647962
volAvg,54427
mktCap,254349216
lastDiv,0.0
range,4.01-11.99
changes,0.26
companyName,scPharmaceuticals Inc
currency,USD
cik,0001604950
isin,US8106481059
cusip,810648105
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Biotechnology
website,http://www.scpharmaceuticals.com/
description,"scPharmaceuticals, Inc.engages in the development of transformative pharmaceutical products for subcutaneous delivery. The company is headquartered in Burlington, Massachusetts and currently employs 21 full-time employees. The firm is engaged in developing pharmaceutical products for subcutaneous delivery. The firm offers sc2Wear Infusor, which is a small pump that attaches to the body using a standard medical adhesive. The sc2Wear Infusor injects the drug into the body slowly, similar to an intravenous (IV) drip. The firm's products administered subcutaneously through the sc2Wear Infusor. The Company’s pipeline programs include: scFurosemide lead product candidate, Furoscix, consists of its proprietary subcutaneous formulation of furosemide delivered via sc2Wear Infusor for diuresis in heart failure patients outside of the acute care setting. The firm has completed two pivotal clinical studies, four exploratory clinical studies, and 12 human factor studies for Furoscix, and scCeftriaxone an antibiotic used intravenously for the treatment of infections caused by gram-positive and gram-negative organisms."
ceo,Mr. John Tucker
sector,Healthcare
country,US
fullTimeEmployees,15
phone,16175170730
address,2400 District Ave Ste 310
city,Burlington
state,MASSACHUSETTS
zip,01803
dcfDiff,-3.02
dcf,12.5444
image,https://financialmodelingprep.com/image-stock/SCPH.png
ipoDate,2017-11-17
defaultImage,False
