,0
symbol,UNFI
price,16.87
beta,1.60221
volAvg,1324624
mktCap,925149180
lastDiv,0.0
range,5.0-23.38
changes,0.26
companyName,United Natural Foods Inc
currency,USD
cik,0001020859
isin,US9111631035
cusip,911163103
exchange,Nasdaq Global Select
exchangeShortName,NYSE
industry,Food Distribution
website,https://www.unfi.com/
description,"United Natural Foods, Inc. engages in the distribution of natural, organic, and specialty foods and non-food products. The company is headquartered in Providence, Rhode Island and currently employs 19,000 full-time employees. The firm's segments include Wholesale and Other. The Wholesale segment is engaged in the national distribution of natural, organic and specialty foods, produce and related products in the United States and Canada. The Other segment includes a retail division, which engages in the sale of natural foods and related products to the general public through retail storefronts on the east coast of the United States; a manufacturing division, which engages in importing, roasting and packaging of nuts, seeds, dried fruit and snack items, and its branded product lines. Its operations consist of three operating divisions: Wholesale Division, Retail Division, and Manufacturing and Branded Products divisions. As of October 22, 2018, the Company had offered 110,000 natural, organic and specialty foods, and non-food products, consisting of national, regional and private-label brands."
ceo,Mr. Steven Spinner
sector,Consumer Defensive
country,US
fullTimeEmployees,19000
phone,14015288634
address,313 Iron Horse Way
city,Providence
state,RHODE ISLAND
zip,02908
dcfDiff,21.05
dcf,19.3117
image,https://financialmodelingprep.com/image-stock/UNFI.png
ipoDate,1996-11-01
defaultImage,False
