,0
symbol,CEE
price,21.03
beta,1.11816
volAvg,7260
mktCap,141025920
lastDiv,1.463
range,12.68-29.47
changes,0.02
companyName,Central and Eastern Europe Fund Inc
currency,USD
cik,
isin,US1534361001
cusip,153436100
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://www.dws-investments.com/EN/products/closed-end-prices-performance.jsp
description,"The Central and Eastern Europe Fund, Inc.(the fund), formerly The Central Europe, Russia and Turkey Fund, Inc., is a non-diversified, closed-end management investment company. The Fund seeks long-term capital appreciation through investment in equity or equity-linked securities of issuers domiciled in Central Europe, Russia and Turkey. Under normal circumstances, the Fund will invest at least 80% of its net assets (plus borrowings used for investment purposes) in securities of issuers domiciled in Central Europe, Russia and Turkey. The Fund invests in various sectors, such as banks; diversified telecommunication services; electric utilities; food and staples retailing; metals and mining; oil, gas and consumable fuels; wireless telecommunication services; insurance; media; software; airlines, chemicals; industrial conglomerates, and pharmaceuticals. Deutsche Asset Management International GmbH is the investment advisor of the Fund."
ceo,Ms. Hepsen Uzcan
sector,Financial Services
country,US
fullTimeEmployees,0
phone,12124544500
address,875 THIRD AVENUE
city,New York City
state,NEW YORK
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/CEE.jpg
ipoDate,1990-02-28
defaultImage,True
