,0
symbol,MCRB
price,34.42
beta,4.6004
volAvg,1106901
mktCap,3140762880
lastDiv,0.0
range,2.52-36.0
changes,0.01
companyName,Seres Therapeutics Inc
currency,USD
cik,0001609809
isin,US81750R1023
cusip,81750R102
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Biotechnology
website,http://serestherapeutics.com/
description,"Seres Therapeutics, Inc. engages in the development of biological drugs through microbiome therapeutics platform. The company is headquartered in Cambridge, Massachusetts and currently employs 145 full-time employees. The firm is engaged in developing a class of biological drugs, which is referred as Ecobiotic microbiome therapeutics. The firm's drugs are designed to restore health by repairing the function of a dysbiotic microbiome. The firm is focused on implementing its microbiome therapeutics platform to develop Ecobiotic microbiome therapeutics that treats dysbiosis in the colonic microbiome. SER-109 is its lead product candidate, which is designed to prevent further recurrences of Clostridium difficile infection (CDI). The firm is developing additional product candidates, including SER-262 to prevent an initial recurrence of primary CDI; SER-287 and SER-301, to treat inflammatory bowel disease (IBD), including ulcerative colitis, and SER-155 to treat enteric bacterial pathogens."
ceo,Mr. Eric Shaff
sector,Healthcare
country,US
fullTimeEmployees,108
phone,16179459626
address,200 Sidney St
city,Cambridge
state,MASSACHUSETTS
zip,02139
dcfDiff,
dcf,29.3496
image,https://financialmodelingprep.com/image-stock/MCRB.png
ipoDate,2015-06-26
defaultImage,False
