,0
symbol,CCNE
price,18.84
beta,1.06249
volAvg,52881
mktCap,317133728
lastDiv,0.68
range,13.25-33.68
changes,-0.76
companyName,CNB Financial Corp
currency,USD
cik,0000736772
isin,US1261281075
cusip,126128107
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Banks Regional
website,https://www.cnbbank.bank/
description,"CNB Financial Corp. is a financial holding company, which engages in the provision of banking and financial solutions. The company is headquartered in Clearfield, Pennsylvania and currently employs 556 full-time employees. The firm is the holding company of CNB Bank (the Bank); CNB Securities Corporation, which maintains investments in debt and equity securities; CNB Insurance Agency, which provides for the sale of nonproprietary annuities and other insurance products, and Holiday Financial Services Corporation, which offers small balance unsecured loans and secured loans, primarily collateralized by automobiles and equipment. The Bank is a full service bank engaging in a range of banking activities and services for individual, business, governmental and institutional customers. The Bank's Wealth & Asset Management Services division offers a range of client services. The Bank's activities include checking, savings and time deposit accounts; real estate loans, commercial loans, industrial loans, residential loans and consumer loans, and other specialized financial services."
ceo,Mr. Joseph Bower
sector,Financial Services
country,US
fullTimeEmployees,509
phone,18147659621
address,"1 S Second St, PO Box 42"
city,Clearfield
state,PENNSYLVANIA
zip,16830
dcfDiff,
dcf,30.2258
image,https://financialmodelingprep.com/image-stock/CCNE.png
ipoDate,1994-03-16
defaultImage,False
