,0
symbol,TW
price,60.22
beta,0.0
volAvg,663113
mktCap,13710407700
lastDiv,0.32
range,33.23-69.055
changes,0.04
companyName,Tradeweb Markets Inc
currency,USD
cik,0001758730
isin,US8926721064
cusip,892672106
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Capital Markets
website,https://www.tradeweb.com/
description,"Tradeweb Markets, Inc. engages in the operation of electronic marketplaces for the trading of products across the rates, credit, money markets, and equities asset classes. The company is headquartered in New York, New York and currently employs 919 full-time employees. The firm provides access to markets, data and analytics, electronic trading, straight-through-processing and reporting for more than 40 products to clients in the institutional, wholesale and retail markets. Its technology supports multiple asset classes, trading protocols and geographies. The company provides solutions across the trade lifecycle, including pre-trade, execution, post-trade and data. The company offers a range of electronic, voice and hybrid platforms to the dealers and financial institutions with its Dealerweb platform. The company also offers trading solutions for financial advisory firms and traders with its Tradeweb Direct platform. The firm serves its customers in more than 60 countries."
ceo,Mr. Lee Olesky
sector,Financial Services
country,US
fullTimeEmployees,919
phone,16464306000
address,1177 Avenue of the Americas
city,New York City
state,NEW YORK
zip,10036
dcfDiff,
dcf,62.5431
image,https://financialmodelingprep.com/image-stock/TW.png
ipoDate,2019-04-04
defaultImage,False
