,0
symbol,MCBS
price,13.7164
beta,-0.095037
volAvg,25069
mktCap,352156224
lastDiv,0.39999999999999997
range,8.31-19.07
changes,0.2164
companyName,Metrocity Bankshares Inc
currency,USD
cik,0001747068
isin,US59165J1051
cusip,59165J105
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Banks Regional
website,
description,"MetroCity Bankshares, Inc. is a bank holding company, which engages in the provision of commercial bank services. The company is headquartered in Atlanta, Georgia and currently employs 203 full-time employees. The firm operates through its banking subsidiary, Metro City Bank (the Bank). Metro City Bank is a Georgia state-chartered commercial bank. The Bank offers a suite of loan and deposit products. The company operates through approximately 19 branch locations across Alabama, Florida, Georgia, New York, New Jersey, Texas and Virginia. The company also offers a range of commercial treasury management services, including balance reporting, transfers between accounts, wire transfer initiation and stop payments. Its loan portfolio includes construction and development loans, commercial real estate loans and small business administration (SBA) loans. The Bank’s deposit base consists primarily of business accounts and deposits from the principals of such businesses."
ceo,Mr. Nack Young Paek
sector,Financial Services
country,US
fullTimeEmployees,211
phone,
address,5441 Buford Hwy NE
city,Atlanta
state,GEORGIA
zip,30340
dcfDiff,
dcf,25.8274
image,https://financialmodelingprep.com/image-stock/MCBS.jpg
ipoDate,2019-10-03
defaultImage,True
