,0
symbol,GLMD
price,3.33
beta,2.35483
volAvg,74186
mktCap,70306624
lastDiv,0.0
range,2.96-7.38
changes,0.16
companyName,Galmed Pharmaceuticals Ltd
currency,USD
cik,0001595353
isin,IL0011313900
cusip,M47238106
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Biotechnology
website,http://www.galmedpharma.com
description,"Galmed Pharmaceuticals Ltd. is a clinical-stage biopharmaceutical company, which engages in the development of oral therapy for the treatment of non-alcoholic steato-hepatitis (NASH). The firm focuses on the development and commercialization of once-daily, oral therapy for the treatment of liver diseases and cholesterol gallstones utilizing its synthetic fatty-acid/bile-acid conjugate (FABAC), called aramchol. Its product candidate, aramchol, is a disease modifying treatment for fatty liver disorders, including Non-Alcoholic Steato-hepatitis (NASH). The firm's Aramchol is a conjugate of cholic acid and arachidic acid, which is a member of synthetic Fatty-Acid/Bile-Acid Conjugates (FABACs). FABACs are composed of endogenic compounds. Aramchol affects liver fat metabolism and has been shown in a Phase IIa clinical study to reduce liver fat content, as well as improve metabolic parameters associated with Nonalcoholic steatohepatitis (NASH). Aramchol is in Phase IIb clinical trials."
ceo,Mr. Allen Baharaff
sector,Healthcare
country,IL
fullTimeEmployees,17
phone,97236938448
address,16 Ze'ev Tyomkin St. (4Th Fl.)
city,TEL AVIV-YAFO
state,
zip,6578317
dcfDiff,-8.21
dcf,8.15241
image,https://financialmodelingprep.com/image-stock/GLMD.png
ipoDate,2014-03-13
defaultImage,False
