,0
symbol,CIB
price,28.84
beta,0.41604
volAvg,216456
mktCap,6934779900
lastDiv,1.354519
range,16.27-56.1
changes,-0.51
companyName,BanColombia S.A.
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Banks Regional
website,http://www.grupobancolombia.com
description,
ceo,Mr. Juan Carlos Mora Uribe
sector,Financial Services
country,Colombia
fullTimeEmployees,31038
phone,57 4 404 1837
address,Carrera 48 # 26-85
city,Medellin
state,
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/CIB.jpg
ipoDate,
defaultImage,True
