,0
symbol,MGU
price,19.75
beta,1.18301
volAvg,39810
mktCap,246248928
lastDiv,1.2149999999999999
range,10.66-27.0
changes,0.23
companyName,Macquarie Global Infrastructure Total Return Fund Inc
currency,USD
cik,
isin,US55608D1019
cusip,55608D101
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://www.macquarie.com/mgl/com/us/mgu/
description,"Macquarie Global Infrastructure Total Return Fund Inc. (the Fund) is a diversified and closed-end investment management company. The Fund's investment objective is to provide to its common stockholders a high level of total return consisting of dividends, and other income and capital appreciation. It invests in a diversified portfolio of equity, debt, preferred or convertible securities and other instruments that are issued by the United States and non-United States companies that own, operate or manage infrastructure assets. It seeks to achieve its investment objective by investing at least 80% of its total assets in equity and equity like securities. The Fund invests in various sectors, such as pipelines, electric utility, toll roads, water, electricity generation, rail/other transportation, communications infrastructure, airports and seaports. The Fund's investment advisor is Macquarie Capital Investment Management LLC."
ceo,Mr. Brad Frishberg
sector,Financial Services
country,US
fullTimeEmployees,0
phone,13036232577
address,125 W 55th St
city,New York City
state,NEW YORK
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/MGU.png
ipoDate,2005-08-26
defaultImage,False
