,0
symbol,CAPR
price,4.65
beta,7.20996
volAvg,956327
mktCap,94169944
lastDiv,0.0
range,0.88-12.32
changes,-0.04
companyName,Capricor Therapeutics Inc
currency,USD
cik,0001133869
isin,US14070B3096
cusip,14070B309
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Biotechnology
website,http://capricor.com/
description,"Capricor Therapeutics, Inc. engages in the discovery, development and commercialization of first-in-class biological therapies for the treatment of cardiac and other serious medical conditions. The company is headquartered in Beverly Hills, California and currently employs 18 full-time employees. The firm focuses on discovering, developing and commercializing regenerative medicine and large molecule products for the treatment of disease, with a primary focus on the treatment of cardiovascular diseases, including orphan indications. Its product candidate, CAP-1002, a cardiosphere-derived cell product, is being tested in the ALLSTAR Phase II clinical study on patients having suffered a myocardial infarction (MI), while the DYNAMIC clinical study is testing CAP-1002 in patients in the advanced-stage of heart failure. CAP-1002 is also being tested in the HOPE-Duchenne Phase I/II clinical study for use in connection with Duchenne muscular dystrophy-related cardiomyopathy. Cenderitide, a dual receptor natriuretic peptide agonist, is being tested in a Phase II clinical study. Exosomes are nano-sized, membrane-enclosed vesicles."
ceo,Dr. Linda Marban
sector,Healthcare
country,US
fullTimeEmployees,16
phone,13103583200
address,8840 Wilshire Blvd Fl 2
city,Beverly Hills
state,CALIFORNIA
zip,90211
dcfDiff,-45.44
dcf,5.25065
image,https://financialmodelingprep.com/image-stock/CAPR.png
ipoDate,2002-06-04
defaultImage,False
