,0
symbol,SLRC
price,17.28
beta,1.3335
volAvg,119549
mktCap,730266620
lastDiv,1.64
range,7.42-21.24
changes,0.13
companyName,Solar Capital Ltd
currency,USD
cik,0001418076
isin,US83413U1007
cusip,83413U100
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Asset Management
website,http://www.solarcapltd.com/
description,"Solar Capital Ltd is a closed-end non-diversified management investment company. The Company's invests in privately held the United States middle market companies. It invests in leveraged middle market companies in the form of senior secured loans, stretch-senior loans, financing leases and to a lesser extent, unsecured loans and equity securities. It may also invest in public companies that are thinly traded. Its business is focused primarily on the direct origination of investments through portfolio companies or their financial sponsors. Its investments generally range between $5 million and $100 million each. In addition, the Company may invest a portion of its portfolio in other types of investments, which it refers to as opportunistic investments. It may invest in the securities and instruments of other investment companies, including private funds. The Company's investment manager is Solar Capital Partners, LLC."
ceo,Mr. Michael Gross
sector,Financial Services
country,US
fullTimeEmployees,0
phone,12129931670
address,500 Park Ave Fl 3
city,New York City
state,NEW YORK
zip,10022
dcfDiff,
dcf,21.2333
image,https://financialmodelingprep.com/image-stock/SLRC.png
ipoDate,2010-02-09
defaultImage,False
